profitability,title,release_date
4,"Kung Fu Panda 2",2011-05-25
4,"Mission: Impossible - Ghost Protocol",2011-12-07
4,"How to Train Your Dragon 2",2014-06-12
4,"Kung Fu Panda",2008-06-04
4,"War of the Worlds",2005-06-28
4,"Puss in Boots",2011-10-28
4,"Pirates of the Caribbean: The Curse of the Black Pearl",2003-07-09
4,"Rio 2",2014-03-19
4,"Total Recall",1990-06-01
4,"The Day After Tomorrow",2004-05-26
4,"Mission: Impossible II",2000-05-24
4,"Monsters, Inc.",2001-11-01
4,"The Croods",2013-03-20
4,"San Andreas",2015-05-27
4,"Mr. & Mrs. Smith",2005-06-07
4,Gladiator,2000-05-01
4,"Django Unchained",2012-12-25
4,"The Mummy Returns",2001-04-28
4,"Die Hard: With a Vengeance",1995-05-19
4,"Cast Away",2000-12-22
4,"Hotel Transylvania",2012-09-20
4,Enchanted,2007-11-20
4,"Over the Hedge",2006-04-22
4,"Alvin and the Chipmunks: Chipwrecked",2011-12-14
4,"Journey 2: The Mysterious Island",2012-01-19
4,"The Rock",1996-06-06
4,"Shark Tale",2004-09-20
4,"The Angry Birds Movie",2016-05-11
4,"The Village",2004-07-30
4,"Doctor Dolittle",1998-06-22
4,"Runaway Bride",1999-07-30
4,"The SpongeBob Movie: Sponge Out of Water",2015-02-05
4,"Inglourious Basterds",2009-08-18
4,Hook,1991-12-11
4,Lincoln,2012-11-09
4,"Austin Powers in Goldmember",2002-07-26
4,"Marley & Me",2008-12-25
4,"The Green Mile",1999-12-10
4,"The Truman Show",1998-06-04
4,"American Wedding",2003-08-01
4,Flightplan,2005-09-22
4,Paddington,2014-11-27
4,Lolita,1962-06-13
4,"Valentine's Day",2010-02-10
4,"Patch Adams",1998-12-25
