title,popularity,release_date
"21 & Over",35,2013-03-01
"The Grudge",35,2004-10-22
"Movie 43",35,2013-01-01
"Begin Again",35,2013-09-07
"Magic Mike",35,2012-06-28
"National Lampoon’s Van Wilder",35,2002-03-29
Oculus,35,2013-09-08
"Still Alice",35,2014-12-05
"The Machinist",35,2004-02-09
"Only God Forgives",35,2013-05-30
"Pearl Harbor",34,2001-05-21
Hulk,34,2003-06-19
"The Peanuts Movie",34,2015-11-05
"A.I. Artificial Intelligence",34,2001-06-29
"Safe House",34,2012-02-09
S.W.A.T.,34,2003-08-08
Hitch,34,2005-02-10
"The Book of Life",34,2014-10-01
"Lord of War",34,2005-09-16
"Man on a Ledge",34,2012-01-13
"The Other Woman",34,2014-04-16
"Identity Thief",34,2013-02-07
"A History of Violence",34,2005-09-23
"The Next Three Days",34,2010-11-18
"Finding Neverland",34,2004-10-17
"The Transporter",34,2002-10-02
"Blue Jasmine",34,2013-07-25
"28 Weeks Later",34,2007-04-26
"The Call",34,2013-03-14
"The Boy in the Striped Pyjamas",34,2008-05-07
"The Lives of Others",34,2006-03-15
"The Last Airbender",33,2010-06-30
"Charlie's Angels: Full Throttle",33,2003-06-27
"Public Enemies",33,2009-07-01
"Point Break",33,2015-12-03
Annie,33,2014-12-19
"The Bounty Hunter",33,2010-03-16
"Along Came Polly",33,2004-01-16
Colombiana,33,2011-07-27
Rush,33,2013-09-02
